"id","user_id","device_name","device_id","created_at","is_active"
"1","1","Test GPS Tracker","test_gps_engine","2025-12-25 18:38:19","1"
"id","device_id","user_id","latitude","longitude","satellites","recorded_at"
"1","1","1","12.97160000","77.59460000","8","2025-12-29 16:05:17"
"2","1","1","12.97160000","77.59460000","8","2025-12-29 16:06:57"
"3","1","1","12.97160000","77.59460000","8","2025-12-29 18:11:27"
"4","1","1","12.97160000","77.59460000","8","2025-12-29 18:23:00"
"5","1","1","12.97160000","77.59460000","8","2025-12-29 18:26:46"
"6","1","1","12.97160000","77.59460000","8","2025-12-29 18:39:49"
"7","1","1","12.97160000","77.59460000","8","2025-12-31 21:15:47"
"8","1","1","12.97160000","77.59460000","8","2025-12-31 21:17:03"
"9","1","1","12.97160000","77.59460000","8","2025-12-31 21:18:19"
"10","1","1","12.97160000","77.59460000","8","2025-12-31 21:19:36"
"11","1","1","12.97160000","77.59460000","8","2025-12-31 21:27:34"
"12","1","1","12.97160000","77.59460000","8","2025-12-31 21:28:50"
"13","1","1","13.14812700","80.29422000","5","2025-12-31 21:30:10"
"14","1","1","13.14811700","80.29422800","6","2025-12-31 21:30:50"
"15","1","1","13.14812900","80.29422000","6","2025-12-31 21:31:29"
"16","1","1","13.14810200","80.29422000","12","2025-12-31 21:50:31"
"17","1","1","13.14810300","80.29425000","12","2025-12-31 21:51:28"
"18","1","1","13.14811000","80.29415900","12","2025-12-31 21:56:44"
"19","1","1","13.14810400","80.29418200","12","2025-12-31 21:57:23"
"20","1","1","13.14811600","80.29414400","13","2025-12-31 22:03:30"
"21","1","1","13.14811200","80.29418900","14","2025-12-31 22:10:15"
"22","1","1","13.14809600","80.29422000","17","2026-01-01 16:19:15"
"23","1","1","13.14809700","80.29422000","17","2026-01-01 16:19:27"
"24","1","1","13.14799600","80.29408300","11","2026-01-01 16:20:05"
"25","1","1","13.14812500","80.29420500","16","2026-01-01 16:20:18"
"26","1","1","13.14813400","80.29419700","16","2026-01-01 16:20:31"
"27","1","1","13.14813400","80.29419700","16","2026-01-01 16:20:43"
"28","1","1","13.14813100","80.29420500","17","2026-01-01 16:20:56"
"29","1","1","13.14812900","80.29420500","17","2026-01-01 16:21:08"
"30","1","1","13.14813000","80.29419700","17","2026-01-01 16:21:21"
"31","1","1","13.14813000","80.29419700","17","2026-01-01 16:21:34"
"32","1","1","13.14813000","80.29419700","17","2026-01-01 16:21:46"
"33","1","1","13.14813000","80.29419700","17","2026-01-01 16:21:59"
"34","1","1","13.14813400","80.29420500","17","2026-01-01 16:22:12"
"35","1","1","13.14813300","80.29420500","17","2026-01-01 16:22:24"
"36","1","1","13.14813100","80.29420500","17","2026-01-01 16:22:37"
"37","1","1","13.14815200","80.29419700","5","2026-01-01 16:42:14"
"38","1","1","13.14821800","80.29421200","15","2026-01-01 16:42:26"
"39","1","1","13.14822000","80.29422800","16","2026-01-01 16:42:39"
"40","1","1","13.14820200","80.29423500","16","2026-01-01 16:42:52"
"41","1","1","13.14819000","80.29425000","16","2026-01-01 16:43:04"
"42","1","1","13.14818700","80.29425000","16","2026-01-01 16:43:18"
"43","1","1","13.14817700","80.29425000","16","2026-01-01 16:43:30"
"44","1","1","13.14817100","80.29425800","9","2026-01-01 17:16:24"
"45","1","1","13.14811100","80.29425000","13","2026-01-01 17:16:36"
"46","1","1","13.14811400","80.29424300","13","2026-01-01 17:16:49"
"47","1","1","13.14811100","80.29424300","14","2026-01-01 17:17:02"
"48","1","1","13.14811100","80.29423500","15","2026-01-01 17:17:14"
"49","1","1","13.14811100","80.29423500","15","2026-01-01 17:17:27"
"50","1","1","13.14811200","80.29423500","15","2026-01-01 17:17:40"
"51","1","1","13.14811300","80.29422800","14","2026-01-01 17:17:52"
"52","1","1","13.14811500","80.29422800","14","2026-01-01 17:18:05"
"53","1","1","13.14811700","80.29422000","14","2026-01-01 17:18:17"
